Generation,Name,Party,BirthYear,BillCount,BioguideID,OfficialPhotoURL,PhotoURL
Gen X,"Stansbury, Melanie A.",D,1979.0,39,S001218,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001218.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001218.jpg
Gen X,"Obernolte, Jay",R,1970.0,62,O000019,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000019.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000019.jpg
Gen X,"Van Duyne, Beth",R,1970.0,97,V000134,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000134.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000134.jpg
Gen X,"Nehls, Troy E.",R,1968.0,81,N000026,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/N000026.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/N000026.jpg
Gen X,"Moore, Blake D.",R,1980.0,76,M001213,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001213.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001213.jpg
Gen X,"Jackson, Ronny",R,1967.0,89,J000304,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/J000304.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/J000304.jpg
Gen X,"Gonzales, Tony",R,1980.0,81,G000594,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000594.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000594.jpg
Gen X,"Stanton, Greg",D,1970.0,69,S001211,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001211.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001211.jpg
Gen X,"Panetta, Jimmy",D,1969.0,207,P000613,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000613.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000613.jpg
Gen X,"Lieu, Ted",D,1969.0,253,L000582,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000582.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000582.jpg
Gen X,"Aguilar, Pete",D,1979.0,88,A000371,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/A000371.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/A000371.jpg
Gen X,"Ruiz, Raul",D,1972.0,265,R000599,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000599.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000599.jpg
Gen X,"Valadao, David G.",R,1977.0,75,V000129,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000129.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000129.jpg
Gen X,"Swalwell, Eric",D,1980.0,105,S001193,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001193.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001193.jpg
Gen X,"Bera, Ami",D,1965.0,108,B001287,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001287.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001287.jpg
Gen X,"Williams, Nikema",D,1978.0,136,W000788,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/W000788.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/W000788.jpg
Gen X,"Spartz, Victoria",R,1978.0,41,S000929,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S000929.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S000929.jpg
Gen X,"Pfluger, August",R,1977.0,141,P000048,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000048.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000048.jpg
Gen X,"Mrvan, Frank J.",D,1969.0,16,M001214,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001214.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001214.jpg
