Generation,Name,Party,BirthYear,BillCount
Baby Boomer,"Lummis, Cynthia M.",R,1954,229
Baby Boomer,"Markey, Edward J.",D,1946,1588
Baby Boomer,"Klobuchar, Amy",D,1960,1384
Baby Boomer,"Justice, James C.",R,1951,6
Baby Boomer,"Kelly, Mark",D,1964,226
Baby Boomer,"Hyde-Smith, Cindy",R,1959,144
Baby Boomer,"Kennedy, John",R,1951,624
Baby Boomer,"Kaine, Tim",D,1958,539
Baby Boomer,"Johnson, Ron",R,1955,591
Baby Boomer,"Hickenlooper, John W.",D,1952,200
Baby Boomer,"Hoeven, John",R,1957,487
Baby Boomer,"Hirono, Mazie K.",D,1947,725
Baby Boomer,"Hagerty, Bill",R,1959,311
Baby Boomer,"Hassan, Margaret Wood",D,1958,349
Baby Boomer,"Graham, Lindsey",R,1955,744
Baby Boomer,"Fischer, Deb",R,1951,335
Baby Boomer,"Curtis, John R.",R,1960,176
Baby Boomer,"Daines, Steve",R,1962,610
Baby Boomer,"Cortez Masto, Catherine",D,1964,602
Baby Boomer,"Cramer, Kevin",R,1961,235
Baby Boomer,"Crapo, Mike",R,1951,612
Baby Boomer,"Coons, Christopher A.",D,1963,735
Baby Boomer,"Cassidy, Bill",R,1957,662
Baby Boomer,"Collins, Susan M.",R,1952,1178
Baby Boomer,"Cornyn, John",R,1952,1556
Baby Boomer,"Capito, Shelley Moore",R,1953,383
Baby Boomer,"Boozman, John",R,1950,392
Baby Boomer,"Cantwell, Maria",D,1958,963
Baby Boomer,"Blunt Rochester, Lisa",D,1962,163
Baby Boomer,"Blumenthal, Richard",D,1946,1025
Baby Boomer,"Barrasso, John",R,1952,684
Baby Boomer,"Bennet, Michael F.",D,1964,835
Baby Boomer,"Blackburn, Marsha",R,1952,732
Baby Boomer,"Baldwin, Tammy",D,1962,713
Unknown,"King-Hinds, Kimberlyn",R,,9
Gen Z,"Frost, Maxwell",D,1997,32
Silent Generation,"Garamendi, John",D,1945,237
Silent Generation,"Matsui, Doris O.",D,1944,284
Silent Generation,"Pelosi, Nancy",D,1940,199
Silent Generation,"Baird, James R.",R,1945,35
Silent Generation,"Watson Coleman, Bonnie",D,1945,177
